url,titlematch_url,titlematch_simi,topN_url,topN_simi,wayback_url
http://hesketh.com/about/careers/web_designer.html,https://heather.hesketh.com/,0.3235440527590378,https://askleo.com/whats_an_internal_server_error_and_how_do_i_fix_it/,0.45379407195482685,http://web.archive.org/web/20090106033456/http://hesketh.com/about/careers/web_designer.html
http://www.nbc4.com/news/3611999/detail.html,N/A,0,https://en.wikipedia.org/wiki/USAir_Flight_1549,0.33930371058556097,http://web.archive.org/web/20071102115424/http://www.nbc4.com/news/3611999/detail.html
http://www.consumersunion.org/finance/ckclear1002.htm,https://www.naavi.org/cl_editorial_04/truncation/How%20New%20Electronic%20Check%20Law%20Affects%20Consumers2.htm,0.9998933331356966,https://www.federalreserve.gov/paymentsystems/regcc-faq-check21.htm,0.8824475135256004,http://web.archive.org/web/20120324104156/http://www.consumersunion.org/finance/ckclear1002.htm
http://ptech.wsj.com/archive/report-200408.html,https://themusicdope.blogspot.com/2005_08_01_archive.html,0.4511088142132542,https://macinfo.us/get-rid-macbook-viruses-spyware-adware,0.5719666742428954,http://web.archive.org/web/20070223010319/http://ptech.wsj.com/archive/report-200408.html
http://www.theguardian.com/world/the-nsa-files,https://www.theguardian.com/world/interactive/2013/nov/01/snowden-nsa-files-surveillance-revelations-decoded,0.7218769537764149,https://www.theguardian.com/uk-news/2013/nov/01/gchq-europe-spy-agencies-mass-surveillance-snowden,0.6960169256267469,http://web.archive.org/web/20140926020959/http://www.theguardian.com/world/the-nsa-files
http://news.com.com/2100-1029-5295661.html,https://www.cnet.com/news/google-queries-provide-stolen-credit-cards/,0.9882170727276313,https://www.cnet.com/news/google-queries-provide-stolen-credit-cards/,0.9882170727276313,http://web.archive.org/web/20051211190930/http://news.com.com/2100-1029-5295661.html
http://news.turner.com/article_display.cfm?article_id=4207,N/A,0,https://readwrite.com/2009/01/16/obama_in_3d_photosynth_crowdsource_inauguration/,0.6138277105414733,http://web.archive.org/web/20090122153754/http://news.turner.com/article_display.cfm?article_id=4207
http://www.terrapinn.com/conference/ipxsummit/index.stm,https://www.travelblog.org/Photos/8968102,0.0745573862647314,https://www.telecomcouncil.com/events/upcoming-meetings/,0.19685746155486195,http://web.archive.org/web/20160505213015/http://www.terrapinn.com/conference/ipxsummit/index.stm
http://policyblog.verizon.com/BlogPost/674/IvanSeidenbergsCommentsattheSupercommConference.aspx,http://info.ontrouve.com/BetaNews.Com/2009/10/,0.7237800423088504,https://www.ivanwoodsapts.com/,0.35505945487622875,http://web.archive.org/web/20091122085115/http://policyblog.verizon.com/BlogPost/674/IvanSeidenbergsCommentsattheSupercommConference.aspx
http://biz.yahoo.com/iw/041026/074896.html,http://www.dslreports.com/shownews/Tasmanian-BPL-Trial-Buries-Interference-Debate-67842,0.6904900710531071,https://investor.conedison.com/news-releases/news-release-details/ambient-and-consolidated-edison-announce-successful-joint,0.7135935551992638,http://web.archive.org/web/20050405032714/http://biz.yahoo.com/iw/041026/074896.html
